Revenue,Operating_Cost,Gross_Margin,Net_Profit,Debt_Ratio,Liquidity_Ratio,Cash_Flow,Transaction_Volume,Market_Volatility_Index,Management_Activity_Score,Risk_Tag,Risk_Class,profit_margin
19039735.88,20859455.05,55.45272457,9982482.175,0.618605563,2.128634397,8962936.137,4981,42.00028689,7.559507324,High Risk,2,52.42973031
47560358.17,19271438.73,64.75110479,7842696.38,0.23790909,2.998680785,4304325.782,4900,61.47971336,4.972240708,Stable,1,16.48998595
36733700.12,1220554.219,23.78509241,2204613.149,0.797915651,0.87526673,6698923.262,1642,54.20501325,4.047757252,Safe Zone,0,6.001609263
30133594.97,13781663.54,51.86555747,-4838391.055,0.590492991,0.889348897,3232579.576,2825,22.93654378,3.641307196,Decline,2,-16.05646807
8222922.702,15331785.63,47.88094874,7405980.548,0.225763107,2.170455081,5560414.931,3866,33.95795536,2.90323288,Stable,1,90.06506343
8221728.757,16073146.68,67.46227826,2140649.714,0.869870446,3.33913596,2086911.249,3103,40.47365257,3.391717386,Decline,2,26.03649156
3375138.802,23290860.3,72.95652954,13365207.52,0.514692371,1.744993275,1613908.237,1640,58.61235097,1.85347395,Warning,1,395.989863
43375719.22,21437381.36,5.911757861,-4401343.368,0.158318761,1.480826301,4938757.434,2281,60.34729619,4.121713098,High Risk,0,-10.14702107
30255193.08,24394622.69,55.55149393,9620695.283,0.601466324,2.32006797,3977556.09,1611,64.58309871,1.329128311,Monitor,0,31.79849243
35549592.6,30642353.81,8.887684934,18536855.94,0.302559126,3.291345802,4954436.43,4322,40.55471503,2.677724624,Warning,0,52.14365224
1518932.468,32556832.4,46.16439988,-639768.3222,0.742954762,3.010783499,1439926.975,3696,51.65648479,7.720934002,Safe Zone,0,-42.1196028
48510537.68,28781298.43,26.57245468,6791237.269,0.754257659,3.486450832,2403493.982,4992,16.70802227,3.929220898,Decline,1,13.99950937
41705910.72,38229843.1,28.00824496,-2714450.205,0.883157885,0.56770575,-993224.4725,3288,43.9173376,7.014133153,Safe Zone,2,-6.508550365
11010785.98,925656.7905,31.47188776,10642047.81,0.501495625,0.838574434,-1372683.533,1650,24.92150857,7.45195758,Critical,1,96.65111852
9500335.877,7991963.83,51.59693368,8763292.015,0.463965504,2.32840329,1041485.556,2106,35.9030131,6.230668085,Decline,0,92.24191785
9578523.238,501002.4241,30.05374743,5184138.105,0.702780484,2.961729318,-1109037.688,4381,48.0430305,9.628279672,Moderate,0,54.12251948
15559991.03,25969493.62,59.95242879,8034425.537,0.205976525,1.355733027,-754703.4964,759,25.41915627,1.1929588,Stable,0,51.63515534
